UID,Latitude,Longitude,Name,City,St,Zip,Cat,Elev,Comments,Pin,Height
104902,40.0064,-121.2495,Low Clearance,Quincy,CA,95971,LC13,,13 - 0 height clearance (136),low_13_0_pushpin,
104961,37.921240000000004,-122.38555,Low Clearance,Richmond,CA,94801,LC12,,12 - 7 height clearance (136),low_12_7_pushpin,
104969,38.961290000000005,-121.53256,Low Clearance,Rio Oso,CA,95674,LC13,,13 - 8 height clearance,low_13_8_pushpin,
104987,33.91946,-117.4241,Low Clearance,Riverside,CA,92503,LC11,,11 - 7 height clearance (136),low_11_7_pushpin,
104988,33.923,-117.42703,Low Clearance,Riverside,CA,92503,LC14,,14 - 11 height clearance,low_14_11_pushpin,
104989,33.977270000000004,-117.37303999999999,Low Clearance,Riverside,CA,92503,LC13,,13 - 6 height clearance,low_13_6_pushpin,
105029,38.586859999999994,-121.48142,Low Clearance,Sacramento,CA,95832,LC13,,13 - 10 height clearance,low_13_10_pushpin,
105105,33.381223,-117.57739099999999,Low Clearance,San Clemente,CA,92672,LC15,,15 height clearance,low_15_0_pushpin,
105118,32.74579,-117.19243999999999,Low Clearance,San Diego,CA,92110,LC13,,13 - 8 height clearance,low_13_8_pushpin,
105150,37.73925,-122.39468000000001,Low Clearance,San Francisco,CA,94108,LC14,,14 - 6 height clearance,low_14_6_pushpin,
105151,37.7499,-122.39321000000001,Low Clearance,San Francisco,CA,94108,LC14,,14 - 0 height clearance,low_14_0_pushpin,
105152,37.78045,-122.3992,Low Clearance,San Francisco,CA,94108,LC13,,13 - 9 height clearance,low_13_9_pushpin,
105153,37.79065,-122.39511999999999,Low Clearance,San Francisco,CA,94108,LC13,,13 - 0 height clearance (136),low_13_0_pushpin,
105154,37.792770000000004,-122.40758999999998,Low Clearance,San Francisco,CA,94108,LC13,,13 - 0 height clearance (136),low_13_0_pushpin,
105165,37.31037,-121.88278999999999,Low Clearance,San Jose,CA,95126,LC14,,14 - 7 height clearance,low_14_7_pushpin,
105166,37.315749,-121.88762,Low Clearance,San Jose,CA,95126,LC14,,14 - 0 height clearance,low_14_0_pushpin,
105167,37.31796,-121.89075,Low Clearance,San Jose,CA,95126,LC13,,13 - 10 height clearance,low_13_10_pushpin,
105168,37.31814,-121.89303999999998,Low Clearance,San Jose,CA,95126,LC13,,13 - 6 height clearance,low_13_6_pushpin,
105169,37.31895,-121.89777,Low Clearance,San Jose,CA,95126,LC15,,15 - 0 height clearance,low_15_0_pushpin,
105170,37.326209999999996,-121.90283000000001,Low Clearance,San Jose,CA,95126,LC14,,14 - 2 height clearance,low_14_2_pushpin,
105171,37.33184,-121.90328999999998,Low Clearance,San Jose,CA,95126,LC14,,14 - 7 height clearance,low_14_7_pushpin,
105172,37.334590000000006,-121.9047,Low Clearance,San Jose,CA,95126,LC13,,13 - 8 height clearance,low_13_8_pushpin,
