,Longitude,Latitude,State,Roadway,Direction,Name,Mile Marker,Restrooms,Restrooms(Vault Toilet),Restrooms(Portapotties),Picnic Tables,Vending Machines,Pet Walking Area,Handicapped Facilities,RV Dump,Restaurant,Gas,Scenic View
160,-122.45789099999999,41.480247999999996,CA,I-5,SB,WEED AIRPORT REST AREA-FOLLOW SIGNS, MM753,True,False,False,True,False,True,True,False,False,False,False
161,-122.45191499999999,41.472215000000006,CA,I-5,NB,WEED AIRPORT REST AREA-FOLLOW SIGNS, MM753,True,False,False,True,False,True,True,False,False,False,False
162,-122.401389,40.921161,CA,I-5,SB,LAKEHEAD REST AREA, MM705,True,False,False,True,True,True,True,False,False,False,False
163,-122.270948,40.27395,CA,I-5,SB,HEBERT S MILES REST AREA, MM656,True,False,False,True,False,True,True,False,False,False,False
164,-122.259969,40.248081,CA,I-5,NB,HEBERT S MILES REST AREA, MM656,True,False,False,True,False,True,True,False,False,False,False
165,-121.980728,38.895453,CA,I-5,SB,DUNNIGAN REST AREA, MM557,True,False,False,True,False,True,True,False,False,False,False
166,-121.97688600000001,38.889221,CA,I-5,NB,DUNNIGAN REST AREA, MM557,True,False,False,True,False,True,True,False,False,False,False
167,-120.78523899999999,36.866253,CA,I-5,SB,JOHN ERRECA REST AREA, MM386,True,False,False,True,True,True,True,False,False,False,False
168,-120.78065500000001,36.860709,CA,I-5,NB,JOHN ERRECA REST AREA, MM386,True,False,False,True,True,True,True,False,False,False,False
169,-120.11814199999999,36.092799,CA,I-5,SB,COALINGA REST AREA, MM321,True,False,False,True,True,True,True,False,False,False,False
170,-120.11171200000001,36.086482000000004,CA,I-5,NB,COALINGA REST AREA, MM321,True,False,False,True,True,True,True,False,False,False,False
171,-117.384868,33.206221,CA,I-5,SB,OCEANSIDE WELCOME CENTER CARS ONLY FOLLOW SIGNS, MM54B,True,False,False,False,False,False,True,False,False,False,False
172,-117.37850900000001,33.202711,CA,I-5,NB,OCEANSIDE WELCOME CENTER CARS ONLY FOLLOW SIGNS, MM54A,True,False,False,False,False,False,True,False,False,False,False
173,-114.891605,32.737155,CA,I-8,WB,SAND HILLS REST AREA-LEFT EXIT, MM20,True,False,False,False,False,False,True,False,False,False,False
174,-114.889575,32.737232,CA,I-8,EB,SAND HILLS REST AREA-LEFT EXIT, MM20,True,False,False,False,False,False,True,False,False,False,False
175,-115.672822,32.773694,CA,I-8,EB,ETO SUNBEAM REST AREA, MM108,True,False,False,True,True,True,True,True,False,False,False
176,-115.665454,32.774142,CA,I-8,WB,ETO SUNBEAM REST AREA, MM108,True,False,False,True,False,True,True,True,False,False,False
177,-116.48699099999999,32.763057,CA,I-8,EB,BUCKMAN SPRINGS REST AREA FOLLOW SIGNS, MM51,True,False,False,True,False,True,True,True,False,False,False
178,-116.482413,32.756553000000004,CA,I-8,WB,BUCKMAN SPRINGS REST AREA FOLLOW SIGNS, MM51,True,False,False,True,False,True,True,True,False,False,False
179,-120.19543,39.324154,CA,I-80,EB,TRUCKEE WELCOME CENTER FOLLOW SIGNS, MM186,True,False,False,False,False,False,True,False,False,False,False
180,-120.191978,39.326443,CA,I-80,WB,TRUCKEE WELCOME CENTER FOLLOW SIGNS, MM186,True,False,False,False,False,False,True,False,False,False,False
181,-120.852502,39.179353000000006,CA,I-80,EB,GOLD RUN REST AREA, MM143,True,False,False,True,True,True,True,False,False,False,False
182,-120.33748,39.34297,CA,I-80,WB,DONNER SUMMIT REST AREA SCENIC VISTA, MM175,True,False,False,True,False,True,True,False,False,False,False
183,-120.343251,39.340474,CA,I-80,EB,DONNER SUMMIT REST AREA SCENIC VISTA, MM175,True,False,False,True,False,True,True,False,False,False,False
184,-120.851774,39.180501,CA,I-80,WB,GOLD RUN REST AREA, MM143,True,False,False,True,True,True,True,False,False,False,False
185,-122.214919,38.155296,CA,I-80,WB,HUNTER HILL REST AREA SCENIC VISTA, MM35,True,False,False,True,True,True,True,False,False,False,False
186,-122.943021,40.666214000000004,CA,SR-299,EB,MOON LIM LEE REST AREA,,True,False,False,True,False,True,True,False,False,False,False
187,-123.548399,40.882965000000006,CA,SR-299,WB,FRANCIS B MATHEWS REST AREA LEFT EXIT,,True,False,False,True,False,True,True,True,False,False,False
188,-123.55021799999999,40.882483,CA,SR-299,EB,FRANCIS B MATHEWS REST AREA,,True,False,False,True,False,True,True,True,False,False,False
189,-121.897051,40.864851,CA,SR-299,EB/WB,HILLCREST REST AREA,,True,False,False,True,True,True,True,False,False,False,False
190,-121.16311599999999,40.303422999999995,CA,SR-36,EB/WB,LAKE ALMANOR REST AREA,,True,False,False,True,False,True,True,False,False,False,False
